English,Vietnamese
"And you (to someone younger)","Còn em"
"Hello (to older brother)","Chào anh"
"Hello everyone","Chào mọi người"
"I am Chinese","Em là người Trung Quốc"
"I am English (older sister)","Chị là người Anh"
"I am Vietnamese (older brother)","Anh là người Việt Nam"
"Vietnamese","Tiếng Việt"
"Where are you from (to older brother)","Anh là người nước nào"
"Where are you from (to older sister)","Chị là người nước nào"
"Where are you from (to someone younger)","Em là người nước nào"
"Why do you study Vietnamese (to older brother)","Tại sao anh học tiếng Việt"
"You are Vietnamese huh (to older brother)","Anh là người Việt Nam hả"
